x,equidistant,Chebyshev
-1,0.0909091,0.0957462
-0.99,0.145355,0.0947283
-0.98,0.185935,0.0972675
-0.97,0.215099,0.102335
-0.96,0.235007,0.109135
-0.95,0.247555,0.11707
-0.94,0.254397,0.125705
-0.93,0.25697,0.13474
-0.92,0.256507,0.143983
-0.91,0.254066,0.15333
-0.9,0.250539,0.162743
-0.89,0.246675,0.172236
-0.88,0.24309,0.181859
-0.87,0.240283,0.191689
-0.86,0.238652,0.201815
-0.85,0.238501,0.212336
-0.84,0.240053,0.22335
-0.83,0.243463,0.23495
-0.82,0.248822,0.24722
-0.81,0.25617,0.260232
-0.8,0.2655,0.274044
-0.79,0.27677,0.288699
-0.78,0.289905,0.304222
-0.77,0.304803,0.320622
-0.76,0.321343,0.337894
-0.75,0.339388,0.356015
-0.74,0.358787,0.374948
-0.73,0.379385,0.394645
-0.72,0.401017,0.415042
-0.71,0.423521,0.436069
-0.7,0.446731,0.457645
-0.69,0.470486,0.479681
-0.68,0.49463,0.502085
-0.67,0.51901,0.524759
-0.66,0.543483,0.547604
-0.65,0.567912,0.570519
-0.64,0.59217,0.593404
-0.63,0.616141,0.616162
-0.62,0.639715,0.638695
-0.61,0.662796,0.660914
-0.6,0.685297,0.682732
-0.59,0.707141,0.704067
-0.58,0.728262,0.724845
-0.57,0.748602,0.744998
-0.56,0.768116,0.764466
-0.55,0.786766,0.783194
-0.54,0.804524,0.801139
-0.53,0.821369,0.818263
-0.52,0.837289,0.834535
-0.51,0.852281,0.849933
-0.5,0.866345,0.864443
-0.49,0.87949,0.878057
-0.48,0.891731,0.890775
-0.47,0.903086,0.902601
-0.46,0.91358,0.913549
-0.45,0.923238,0.923635
-0.44,0.932094,0.932881
-0.43,0.940179,0.941315
-0.42,0.94753,0.948967
-0.41,0.954185,0.955871
-0.4,0.960183,0.962065
-0.39,0.965563,0.967588
-0.38,0.970366,0.972482
-0.37,0.974633,0.976787
-0.36,0.978404,0.980548
-0.35,0.981718,0.983808
-0.34,0.984613,0.98661
-0.33,0.987128,0.988997
-0.32,0.989299,0.99101
-0.31,0.99116,0.99269
-0.3,0.992745,0.994075
-0.29,0.994083,0.995202
-0.28,0.995206,0.996107
-0.27,0.996139,0.996821
-0.26,0.996908,0.997374
-0.25,0.997537,0.997794
-0.24,0.998045,0.998107
-0.23,0.998453,0.998334
-0.22,0.998777,0.998495
-0.21,0.999032,0.998607
-0.2,0.999232,0.998685
-0.19,0.999387,0.998742
-0.18,0.999509,0.998787
-0.17,0.999604,0.998829
-0.16,0.99968,0.998872
-0.15,0.999742,0.998922
-0.14,0.999794,0.998981
-0.13,0.99984,0.99905
-0.12,0.999883,0.999128
-0.11,0.999922,0.999216
-0.1,0.999961,0.99931
-0.09,0.999998,0.999408
-0.08,1.00003,0.999508
-0.07,1.00007,0.999606
-0.06,1.0001,0.999699
-0.05,1.00013,0.999784
-0.04,1.00015,0.999858
-0.03,1.00017,0.999919
-0.02,1.00019,0.999963
-0.01,1.0002,0.999991
7.5287e-16,1.0002,1
0.01,1.0002,0.999991
0.02,1.00019,0.999963
0.03,1.00017,0.999919
0.04,1.00015,0.999858
0.05,1.00013,0.999784
0.06,1.0001,0.999699
0.07,1.00007,0.999606
0.08,1.00003,0.999508
0.09,0.999998,0.999408
0.1,0.999961,0.99931
0.11,0.999922,0.999216
0.12,0.999883,0.999128
0.13,0.99984,0.99905
0.14,0.999794,0.998981
0.15,0.999742,0.998922
0.16,0.99968,0.998872
0.17,0.999604,0.998829
0.18,0.999509,0.998787
0.19,0.999387,0.998742
0.2,0.999232,0.998685
0.21,0.999032,0.998607
0.22,0.998777,0.998495
0.23,0.998453,0.998334
0.24,0.998045,0.998107
0.25,0.997537,0.997794
0.26,0.996908,0.997374
0.27,0.996139,0.996821
0.28,0.995206,0.996107
0.29,0.994083,0.995202
0.3,0.992745,0.994075
0.31,0.99116,0.99269
0.32,0.989299,0.99101
0.33,0.987128,0.988997
0.34,0.984613,0.98661
0.35,0.981718,0.983808
0.36,0.978404,0.980548
0.37,0.974633,0.976787
0.38,0.970366,0.972482
0.39,0.965563,0.967588
0.4,0.960183,0.962065
0.41,0.954185,0.955871
0.42,0.94753,0.948967
0.43,0.940179,0.941315
0.44,0.932094,0.932881
0.45,0.923238,0.923635
0.46,0.91358,0.913549
0.47,0.903086,0.902601
0.48,0.891731,0.890775
0.49,0.87949,0.878057
0.5,0.866345,0.864443
0.51,0.852281,0.849933
0.52,0.837289,0.834535
0.53,0.821369,0.818263
0.54,0.804524,0.801139
0.55,0.786766,0.783194
0.56,0.768116,0.764466
0.57,0.748602,0.744998
0.58,0.728262,0.724845
0.59,0.707141,0.704067
0.6,0.685297,0.682732
0.61,0.662796,0.660914
0.62,0.639715,0.638695
0.63,0.616141,0.616162
0.64,0.59217,0.593404
0.65,0.567912,0.570519
0.66,0.543483,0.547604
0.67,0.51901,0.524759
0.68,0.49463,0.502085
0.69,0.470486,0.479681
0.7,0.446731,0.457645
0.71,0.423521,0.436069
0.72,0.401017,0.415042
0.73,0.379385,0.394645
0.74,0.358787,0.374948
0.75,0.339388,0.356015
0.76,0.321343,0.337894
0.77,0.304803,0.320622
0.78,0.289905,0.304222
0.79,0.27677,0.288699
0.8,0.2655,0.274044
0.81,0.25617,0.260232
0.82,0.248822,0.24722
0.83,0.243463,0.23495
0.84,0.240053,0.22335
0.85,0.238501,0.212336
0.86,0.238652,0.201815
0.87,0.240283,0.191689
0.88,0.24309,0.181859
0.89,0.246675,0.172236
0.9,0.250539,0.162743
0.91,0.254066,0.15333
0.92,0.256507,0.143983
0.93,0.25697,0.13474
0.94,0.254397,0.125705
0.95,0.247555,0.11707
0.96,0.235007,0.109135
0.97,0.215099,0.102335
0.98,0.185935,0.0972675
0.99,0.145355,0.0947283
