h,conventional
0,1
0.01,0.978331
0.02,0.957055
0.03,0.936163
0.04,0.915649
0.05,0.895506
0.06,0.875725
0.07,0.856301
0.08,0.837226
0.09,0.818494
0.1,0.800099
0.11,0.782033
0.12,0.764292
0.13,0.746868
0.14,0.729756
0.15,0.712949
0.16,0.696443
0.17,0.680232
0.18,0.664309
0.19,0.648671
0.2,0.63331
0.21,0.618223
0.22,0.603405
0.23,0.58885
0.24,0.574553
0.25,0.56051
0.26,0.546716
0.27,0.533167
0.28,0.519859
0.29,0.506786
0.3,0.493945
0.31,0.481331
0.32,0.468941
0.33,0.456771
0.34,0.444816
0.35,0.433073
0.36,0.421539
0.37,0.410209
0.38,0.39908
0.39,0.388149
0.4,0.377412
0.41,0.366866
0.42,0.356508
0.43,0.346334
0.44,0.336342
0.45,0.326529
0.46,0.316891
0.47,0.307426
0.48,0.29813
0.49,0.289002
0.5,0.280039
0.51,0.271238
0.52,0.262596
0.53,0.254111
0.54,0.245781
0.55,0.237603
0.56,0.229575
0.57,0.221695
0.58,0.213961
0.59,0.20637
0.6,0.198921
0.61,0.191612
0.62,0.18444
0.63,0.177403
0.64,0.170501
0.65,0.163731
0.66,0.157092
0.67,0.150581
0.68,0.144198
0.69,0.13794
0.7,0.131806
0.71,0.125795
0.72,0.119906
0.73,0.114136
0.74,0.108485
0.75,0.102952
0.76,0.0975343
0.77,0.0922319
0.78,0.0870434
0.79,0.0819678
0.8,0.077004
0.81,0.0721509
0.82,0.0674077
0.83,0.0627735
0.84,0.0582474
0.85,0.0538285
0.86,0.0495162
0.87,0.0453098
0.88,0.0412084
0.89,0.0372115
0.9,0.0333185
0.91,0.0295289
0.92,0.025842
0.93,0.0222575
0.94,0.0187749
0.95,0.0153938
0.96,0.0121138
0.97,0.00893474
0.98,0.00585622
0.99,0.00287803
1,0
